	Acc_Test	Acc_Train
0	53.54188084602356	44.61701512336731
1	54.82665300369263	52.75425314903259
2	55.43071627616882	57.59970545768738
3	56.003326177597046	60.83967089653015
4	55.80923557281494	62.96671628952026
5	55.87897300720215	64.43167328834534
6	55.619728565216064	65.33727049827576
7	55.652445554733276	66.02956056594849
8	55.63623309135437	66.57664775848389
9	55.37043809890747	66.96618795394897
10	55.1690936088562	67.2739326953888
11	54.98360991477966	67.5125241279602
12	54.96566891670227	67.69614815711975
13	54.796481132507324	67.86784529685974
14	54.73933815956116	68.01517605781555
15	54.488664865493774	68.12345385551453
16	54.402095079422	68.20229887962341
17	54.35764193534851	68.27899217605591
18	54.325491189956665	68.35440397262573
19	54.145652055740356	68.39264035224915
20	54.04066443443298	68.4175968170166
21	53.94277572631836	68.44636797904968
22	53.8926362991333	68.45968961715698
23	53.89035940170288	68.48264932632446
24	53.78948450088501	68.49920153617859
25	53.79303693771362	68.5001790523529
26	53.62256169319153	68.49895715713501
27	53.54335308074951	68.50491166114807
28	53.50830554962158	68.50409507751465
29	53.51555347442627	68.49925518035889
30	53.48693132400513	68.50190162658691
31	53.36980223655701	68.49204301834106
32	53.28972935676575	68.46506595611572
33	53.28618884086609	68.45079064369202
34	53.29917073249817	68.43516826629639
35	53.2221794128418	68.42542886734009
36	53.25527787208557	68.40723752975464
37	53.213876485824585	68.38530898094177
38	53.22068929672241	68.36254596710205
39	53.22796702384949	68.34360361099243
40	53.17413806915283	68.32780241966248
41	53.15200686454773	68.3007299900055
42	53.10443043708801	68.28064322471619
43	53.05352807044983	68.26499104499817
44	53.067547082901	68.2490587234497
45	53.08641791343689	68.22685599327087
46	53.10661196708679	68.21233630180359
47	53.12643051147461	68.18963289260864
48	53.111088275909424	68.1708037853241
49	53.09988260269165	68.15670132637024
