	Acc_Test	Acc_Train
0	52.9107391834259	41.54828786849976
1	56.93628787994385	50.29613375663757
2	59.41460132598877	55.544012784957886
3	61.046504974365234	59.31304097175598
4	62.270355224609375	62.29807734489441
5	63.04084062576294	64.88169431686401
6	63.5260283946991	67.25360751152039
7	63.8794481754303	69.52536106109619
8	64.16585445404053	71.72189354896545
9	64.3454909324646	73.80450963973999
10	64.43803906440735	75.7548987865448
11	64.54318165779114	77.5246798992157
12	64.5478367805481	79.11235094070435
13	64.58432078361511	80.52985072135925
14	64.59569334983826	81.7906141281128
15	64.57291841506958	82.90383815765381
16	64.5706832408905	83.89020562171936
17	64.5662009716034	84.7754716873169
18	64.55482244491577	85.57215332984924
19	64.54501748085022	86.2910509109497
20	64.53108787536621	86.94244623184204
21	64.51075673103333	87.5351071357727
22	64.49393033981323	88.07663917541504
23	64.4749641418457	88.57311010360718
24	64.4513189792633	89.03002738952637
25	64.42564725875854	89.4518494606018
26	64.40423727035522	89.84243869781494
27	64.38109874725342	90.20511507987976
28	64.35486078262329	90.5428409576416
29	64.33095335960388	90.85803031921388
30	64.30463194847107	91.15283489227296
31	64.28117156028748	91.42926931381226
32	64.25784826278687	91.68893098831175
33	64.23478722572327	91.93324446678162
34	64.21843767166138	92.16357469558716
35	64.1924798488617	92.3806369304657
36	64.17796015739441	92.58243441581726
37	64.16350603103638	92.75017380714417
38	64.16191458702087	92.86616444587708
39	64.18545246124268	93.02259683609007
